period,city,買賣_棟數,買賣_坪數,拍賣_棟數,拍賣_坪數,繼承_棟數,繼承_坪數,贈與_棟數,贈與_坪數
100Q2,彰化縣,2027,100452.79,169,31012.82,387,17677.97,236,10226.42
100Q2,新北市,21967,603211.91,304,11500.65,2002,63336.08,2079,52075.59
100Q2,新竹市,2978,98910.77,35,1302.08,168,7915.4,194,10864.68
100Q2,新竹縣,3174,99633.82,74,33199.06,152,6521.7,172,7356.2300000000005
100Q2,桃園市,12089,409129.52,479,19941.17,950,33794.16,938,39509.21
100Q2,澎湖縣,130,5890.38,3,104.0,109,2521.43,30,1010.1600000000001
100Q2,臺中市,13715,478868.27,331,7571.57,1212,47866.37,1091,42983.65
100Q2,臺北市,13053,324567.46,155,8580.79,1852,53413.55,1507,38086.600000000006
100Q2,臺南市,5949,257254.95,425,21605.65,908,37694.81,581,23697.36
100Q2,臺東縣,415,17917.89,22,600.93,84,4264.14,64,2332.69
100Q2,花蓮縣,1141,40565.14,63,1958.44,151,5404.32,123,5097.91
100Q2,苗栗縣,1248,64498.59,69,2898.93,218,11615.41,165,8190.280000000001
100Q2,連江縣,0,0.0,0,0.0,0,0.0,0,0.0
100Q2,金門縣,99,3764.37,2,82.01,7,627.25,19,930.6700000000001
100Q2,雲林縣,960,50481.39,103,7635.54,200,9963.72,118,6006.83
100Q2,高雄市,9933,363998.74,632,19667.06,1308,46625.57,937,32811.16
100Q3,區域別總計,82664,2970704.06,3259,182065.84,10800,390489.86,8987,284006.18
100Q3,南投縣,599,30145.38,67,6423.6,168,7514.52,150,6067.09
100Q3,嘉義市,844,29435.2,47,1484.32,161,5354.28,180,6615.849999999999
100Q3,嘉義縣,596,21896.44,35,1683.07,152,5803.09,91,3952.63
100Q3,基隆市,1701,40403.19,127,2587.39,263,7645.24,188,4184.21
100Q3,宜蘭縣,1572,59106.82,72,2719.66,219,8636.61,163,5793.860000000001
100Q3,屏東縣,1061,49540.81,124,5007.3,297,13493.95,205,8673.07
100Q3,彰化縣,1799,85149.81,120,29720.38,393,18023.39,242,11023.4
100Q3,新北市,19146,523940.44,305,11349.54,2034,60884.67,1990,49416.84
100Q3,新竹市,2921,70557.47,24,596.28,234,8060.94,184,5455.92
100Q3,新竹縣,2842,91101.78,61,4548.61,159,6494.92,205,8609.69
100Q3,桃園市,10707,609501.04,445,37460.29,812,30965.95,872,28248.32
100Q3,澎湖縣,86,3746.57,3,131.38,109,2386.65,36,1339.54
100Q3,臺中市,11399,391646.5,338,16372.96,1067,44217.81,999,34096.590000000004
100Q3,臺北市,10613,243380.43,201,5794.18,1886,56601.36,1542,34841.38
100Q3,臺南市,4878,207577.3,305,17079.7,791,29974.56,509,19528.85
100Q3,臺東縣,381,14258.81,63,1577.99,86,3957.59,59,3317.63
100Q3,花蓮縣,855,35136.75,73,2501.72,170,7614.37,144,6230.48
100Q3,苗栗縣,1115,53202.06,61,2452.46,242,12491.68,152,7173.16
100Q3,連江縣,0,0.0,0,0.0,0,0.0,0,0.0
100Q3,金門縣,86,3802.13,0,0.0,12,543.63,21,1311.32
100Q3,雲林縣,844,45831.38,137,7290.89,201,9583.48,150,7667.26
100Q3,高雄市,8619,361343.78,651,25284.11,1344,50241.15,905,30459.079999999998
100Q4,區域別總計,78498,2676035.52,2801,126922.04,9892,370439.35,10269,346818.66000000003
100Q4,南投縣,747,39226.0,111,5833.05,182,7827.06,179,7887.04
100Q4,嘉義市,861,32507.63,32,789.77,169,6693.34,145,4980.37
100Q4,嘉義縣,638,34220.88,50,1819.66,136,6606.38,164,14590.07
100Q4,基隆市,1525,37042.95,118,2723.53,240,6088.57,185,4080.0299999999997
100Q4,宜蘭縣,1522,59571.55,55,5713.77,238,9502.64,175,6854.77
100Q4,屏東縣,1364,51325.96,120,4267.49,321,16120.41,199,9562.96
100Q4,彰化縣,1576,74765.95,150,18149.91,341,15261.18,282,12957.34
100Q4,新北市,16677,475938.83,189,5134.92,1691,48701.19,2291,58319.66
100Q4,新竹市,3161,92813.69,36,1655.3,180,7403.48,267,7736.02
100Q4,新竹縣,2790,94214.06,34,1057.47,129,5624.79,211,9271.130000000001
100Q4,桃園市,10454,354513.27,371,14701.12,773,31819.5,923,31918.350000000002
100Q4,澎湖縣,91,4574.24,2,47.27,74,2215.53,37,947.8499999999999
100Q4,臺中市,9837,349704.38,285,15500.36,1111,46013.54,1202,44106.97
100Q4,臺北市,10105,285362.53,192,4858.13,1621,52875.16,1885,47761.32
100Q4,臺南市,5110,204696.97,318,16071.43,787,30107.99,573,21196.29
100Q4,臺東縣,357,16231.45,15,576.01,83,3875.6,85,3362.0099999999998
100Q4,花蓮縣,852,35910.99,41,1229.83,157,7120.56,179,7283.240000000001
100Q4,苗栗縣,1478,59364.61,54,2284.5,213,13264.07,181,10098.26
100Q4,連江縣,0,0.0,0,0.0,0,0.0,0,0.0
100Q4,金門縣,40,2369.8,0,0.0,22,889.66,17,974.95
100Q4,雲林縣,994,47800.93,98,5175.65,231,11778.41,130,7167.360000000001
100Q4,高雄市,8319,323878.84,530,19332.87,1193,40650.29,959,35762.67
101Q1,區域別總計,63907,2237593.98,2330,132182.54,10194,367675.09,12902,450620.27
101Q1,南投縣,629,33351.18,91,2899.02,164,7486.64,175,9346.81
101Q1,嘉義市,789,30987.66,29,765.34,165,5153.83,139,4847.64
101Q1,嘉義縣,533,25163.69,38,1968.5,165,6477.45,176,10793.62
101Q1,基隆市,1046,28689.54,98,2134.69,199,5663.34,189,4633.93
101Q1,宜蘭縣,1272,49466.02,36,847.42,207,7192.58,188,9506.869999999999
101Q1,屏東縣,1135,52702.48,112,5624.42,336,14398.46,253,10959.310000000001
101Q1,彰化縣,1293,62869.89,118,4279.08,332,14460.57,334,16941.629999999997
101Q1,新北市,12165,353715.24,223,5223.22,1837,50662.04,2823,81518.76
101Q1,新竹市,2163,62482.03,14,426.5,204,8767.77,215,7226.960000000001
101Q1,新竹縣,2304,80596.88,32,1182.17,141,5537.13,239,10774.49
101Q1,桃園市,8880,325468.35,311,57072.44,876,33656.64,1033,45772.42
101Q1,澎湖縣,89,3766.36,5,238.7,72,3269.51,55,1896.14
101Q1,臺中市,9140,332016.42,241,12023.22,1049,41779.88,1483,58580.42999999999
101Q1,臺北市,7715,190155.51,157,4533.76,1748,53834.38,3205,78549.34
101Q1,臺南市,4523,180737.68,220,6921.58,807,33510.72,673,28667.71
101Q1,臺東縣,324,16805.15,19,562.54,65,2611.06,68,3193.09
101Q1,花蓮縣,797,33820.66,48,1326.16,175,7610.33,136,5689.66
