資料期別,縣市,本季購置住宅貸款違約率(%),download_timestamp,process_timestamp
099Q2,澎湖縣,0.43,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,全國,0.57,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,台中市,0.3,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,台中縣,0.78,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,台北市,0.2,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,台東縣,1.72,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,台南市,0.72,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,台南縣,0.74,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,宜蘭縣,0.76,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,花蓮縣,0.95,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,金門縣,0.49,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,南投縣,1.82,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,屏東縣,1.3,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,苗栗縣,1.45,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,桃園市,1.16,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,高雄市,0.8,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,高雄縣,1.22,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,基隆市,1.59,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,連江縣,0.0,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,雲林縣,1.34,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,新北市,0.31,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,新竹市,0.64,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,新竹縣,0.61,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,嘉義市,0.66,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,嘉義縣,1.2,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,彰化縣,0.71,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q3,澎湖縣,0.39,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,全國,0.47,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,台中市,0.26,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,台中縣,0.61,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,台北市,0.15,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,台東縣,1.58,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,台南市,0.62,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,台南縣,0.68,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,宜蘭縣,0.68,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,花蓮縣,0.74,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,金門縣,0.4,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,南投縣,1.62,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,屏東縣,1.19,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,苗栗縣,1.28,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,桃園市,0.98,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,高雄市,0.65,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,高雄縣,0.95,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,基隆市,1.36,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,連江縣,0.0,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,雲林縣,1.15,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,新北市,0.25,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,新竹市,0.56,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,新竹縣,0.55,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,嘉義市,0.59,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,嘉義縣,1.1,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
