資料期別,縣市,建物買賣移轉登記棟數
108Q1,彰化縣,1909.0
108Q1,澎湖縣,81.0
108Q2,全國,78927.0
108Q2,台中市,10753.0
108Q2,台北市,7416.0
108Q2,台東縣,306.0
108Q2,台南市,6192.0
108Q2,宜蘭縣,1289.0
108Q2,花蓮縣,746.0
108Q2,金門縣,126.0
108Q2,南投縣,860.0
108Q2,屏東縣,1548.0
108Q2,苗栗縣,1408.0
108Q2,桃園市,10155.0
108Q2,高雄市,10380.0
108Q2,基隆市,1600.0
108Q2,連江縣,0.0
108Q2,雲林縣,1293.0
108Q2,新北市,15367.0
108Q2,新竹市,2235.0
108Q2,新竹縣,3321.0
108Q2,嘉義市,932.0
108Q2,嘉義縣,828.0
108Q2,彰化縣,2070.0
108Q2,澎湖縣,102.0
108Q3,全國,75640.0
108Q3,台中市,11031.0
108Q3,台北市,7166.0
108Q3,台東縣,332.0
108Q3,台南市,5635.0
108Q3,宜蘭縣,1301.0
108Q3,花蓮縣,789.0
108Q3,金門縣,173.0
108Q3,南投縣,775.0
108Q3,屏東縣,1388.0
108Q3,苗栗縣,1831.0
108Q3,桃園市,10518.0
108Q3,高雄市,8314.0
108Q3,基隆市,1619.0
108Q3,連江縣,0.0
108Q3,雲林縣,927.0
108Q3,新北市,15587.0
108Q3,新竹市,1878.0
108Q3,新竹縣,2225.0
108Q3,嘉義市,915.0
108Q3,嘉義縣,710.0
108Q3,彰化縣,2445.0
108Q3,澎湖縣,81.0
108Q4,全國,81484.0
108Q4,台中市,12371.0
108Q4,台北市,7390.0
108Q4,台東縣,293.0
108Q4,台南市,6005.0
108Q4,宜蘭縣,1497.0
108Q4,花蓮縣,762.0
108Q4,金門縣,151.0
108Q4,南投縣,673.0
108Q4,屏東縣,1627.0
108Q4,苗栗縣,1452.0
108Q4,桃園市,12158.0
108Q4,高雄市,9252.0
108Q4,基隆市,1522.0
108Q4,連江縣,0.0
108Q4,雲林縣,1126.0
108Q4,新北市,16382.0
108Q4,新竹市,2479.0
108Q4,新竹縣,2917.0
108Q4,嘉義市,778.0
108Q4,嘉義縣,719.0
108Q4,彰化縣,1813.0
108Q4,澎湖縣,117.0
109Q1,全國,69361.0
109Q1,台中市,10444.0
109Q1,台北市,6741.0
109Q1,台東縣,283.0
109Q1,台南市,5212.0
109Q1,宜蘭縣,1662.0
109Q1,花蓮縣,779.0
109Q1,金門縣,121.0
109Q1,南投縣,577.0
109Q1,屏東縣,1385.0
109Q1,苗栗縣,1154.0
109Q1,桃園市,9692.0
109Q1,高雄市,8014.0
109Q1,基隆市,1312.0
109Q1,連江縣,0.0
109Q1,雲林縣,1131.0
109Q1,新北市,13261.0
109Q1,新竹市,1829.0
109Q1,新竹縣,2542.0
109Q1,嘉義市,715.0
109Q1,嘉義縣,727.0
109Q1,彰化縣,1676.0
109Q1,澎湖縣,104.0
109Q2,全國,71017.0
109Q2,台中市,9676.0
109Q2,台北市,6715.0
109Q2,台東縣,320.0
109Q2,台南市,5292.0
109Q2,宜蘭縣,1136.0
109Q2,花蓮縣,902.0
109Q2,金門縣,130.0
109Q2,南投縣,676.0
109Q2,屏東縣,1572.0
109Q2,苗栗縣,1224.0
109Q2,桃園市,10333.0
109Q2,高雄市,8657.0
109Q2,基隆市,1365.0
109Q2,連江縣,0.0
109Q2,雲林縣,1015.0
109Q2,新北市,13914.0
109Q2,新竹市,1934.0
109Q2,新竹縣,3029.0
